WARNING:build_features:--rebuild: cleared 33,837,110 existing feature rows
INFO:build_features:Feature types: common_stock, adr, etf, closed_end_fund
INFO:build_features:9975 tickers need features | computing 9975 this run
INFO:build_features:8600/9975 tickers | 29,113,307 feature rows | 0 skipped | 20.3 tickers/s | ETA 1.1 min
INFO:build_features:8650/9975 tickers | 29,285,258 feature rows | 0 skipped | 20.3 tickers/s | ETA 1.1 min
INFO:build_features:8700/9975 tickers | 29,438,412 feature rows | 0 skipped | 20.3 tickers/s | ETA 1.0 min
INFO:build_features:8750/9975 tickers | 29,592,447 feature rows | 0 skipped | 20.4 tickers/s | ETA 1.0 min
INFO:build_features:8800/9975 tickers | 29,738,161 feature rows | 0 skipped | 20.4 tickers/s | ETA 1.0 min
INFO:build_features:8850/9975 tickers | 29,969,322 feature rows | 0 skipped | 20.3 tickers/s | ETA 0.9 min
INFO:build_features:8900/9975 tickers | 30,112,605 feature rows | 0 skipped | 20.3 tickers/s | ETA 0.9 min
INFO:build_features:8950/9975 tickers | 30,277,120 feature rows | 0 skipped | 20.4 tickers/s | ETA 0.8 min
INFO:build_features:9000/9975 tickers | 30,494,222 feature rows | 0 skipped | 20.3 tickers/s | ETA 0.8 min
INFO:build_features:9050/9975 tickers | 30,742,216 feature rows | 0 skipped | 20.3 tickers/s | ETA 0.8 min
INFO:build_features:9100/9975 tickers | 30,953,106 feature rows | 0 skipped | 20.3 tickers/s | ETA 0.7 min
INFO:build_features:9150/9975 tickers | 31,115,529 feature rows | 0 skipped | 20.3 tickers/s | ETA 0.7 min
INFO:build_features:9200/9975 tickers | 31,312,717 feature rows | 0 skipped | 20.3 tickers/s | ETA 0.6 min
INFO:build_features:9250/9975 tickers | 31,488,204 feature rows | 0 skipped | 20.3 tickers/s | ETA 0.6 min
INFO:build_features:9300/9975 tickers | 31,647,934 feature rows | 0 skipped | 20.3 tickers/s | ETA 0.6 min
INFO:build_features:9350/9975 tickers | 31,888,219 feature rows | 0 skipped | 20.2 tickers/s | ETA 0.5 min
INFO:build_features:9400/9975 tickers | 32,057,959 feature rows | 0 skipped | 20.2 tickers/s | ETA 0.5 min
INFO:build_features:9450/9975 tickers | 32,225,788 feature rows | 0 skipped | 20.2 tickers/s | ETA 0.4 min
INFO:build_features:9500/9975 tickers | 32,408,634 feature rows | 0 skipped | 20.2 tickers/s | ETA 0.4 min
INFO:build_features:9550/9975 tickers | 32,606,236 feature rows | 0 skipped | 20.2 tickers/s | ETA 0.4 min
INFO:build_features:9600/9975 tickers | 32,853,276 feature rows | 0 skipped | 20.2 tickers/s | ETA 0.3 min
INFO:build_features:9650/9975 tickers | 33,090,750 feature rows | 0 skipped | 20.2 tickers/s | ETA 0.3 min
INFO:build_features:9700/9975 tickers | 33,221,140 feature rows | 0 skipped | 20.2 tickers/s | ETA 0.2 min
INFO:build_features:9750/9975 tickers | 33,339,481 feature rows | 0 skipped | 20.2 tickers/s | ETA 0.2 min
INFO:build_features:9800/9975 tickers | 33,490,170 feature rows | 0 skipped | 20.2 tickers/s | ETA 0.1 min
INFO:build_features:9850/9975 tickers | 33,596,921 feature rows | 0 skipped | 20.3 tickers/s | ETA 0.1 min
INFO:build_features:9900/9975 tickers | 33,694,801 feature rows | 0 skipped | 20.3 tickers/s | ETA 0.1 min
INFO:build_features:9950/9975 tickers | 33,784,708 feature rows | 0 skipped | 20.3 tickers/s | ETA 0.0 min
INFO:build_features:------------------------------------------------------------
INFO:build_features:Computed 9975 tickers, skipped 0 (under 210 bars), 33,837,110 rows in 8.2 min
INFO:build_features:features table: {'rows': 33837110, 'tickers': 9975, 'first_date': '1962-01-02', 'last_date': '2026-09-11'}
